"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"HOL2030","Microsoft Exchange: Hybrid Agent, easier room booking, and sensitivity labeling and autoclassification","Productivity","Hands-on Labs","Intermediate (200)","Microsoft 365	Email and Calendar
Microsoft 365
","","","microsoft exchange: hybrid agent, easier room booking, and sensitivity labeling and autoclassification"
"HOL2034","Build a SharePoint Framework web part","Productivity","Hands-on Labs","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
","","","build a sharepoint framework web part"
"BRK2309","Cloud application patterns","Tooling","Panel Discussion","Intermediate (200)","","Dominique Vives
","Microsoft France
","cloud application patterns"
"BRK2315","Panel and Discussion: Extending apps with AI","Tooling","Panel Discussion","Intermediate (200)","","Lynne Thomson
","Microsoft
","panel and discussion: extending apps with ai"
"THR2357","Learn how Exxaro migrated their entire enterprise estate to the Azure cloud","Productivity","Partner Led Session","Intermediate (200)","","Chris Smith
","Exxaro Resources
","learn how exxaro migrated their entire enterprise estate to the azure cloud"
"THR2368","Accelerate cloud migration and innovation: How to quickly deploy existing data and software to the cloud","Deployment","Session","Intermediate (200)","","Keith Vidal
","Marketplace | Cloud + AI
","accelerate cloud migration and innovation: how to quickly deploy existing data and software to the cloud"
"BRK2369","Omnichannel for Microsoft Dynamics 365 Customer Service: What’s new and what’s coming next","Productivity","Session","Intermediate (200)","Dynamics 365	Customer Service
Dynamics 365
","Kumar Ashutosh
P Alpana Bajaj
","Microsoft
Microsoft
","omnichannel for microsoft dynamics 365 customer service: what’s new and what’s coming next"
"THR2356","Azure CLI loves developers","Development","Session","Intermediate (200)","Tooling & Languages	Other
Tooling & Languages
","Arun Chandrasekhar
","Microsoft
","azure cli loves developers"
"BRK2376","A Vault for your CI/CD Pipeline","Deployment","Session","Intermediate (200)","Azure	Integration
Azure
","Joseph Lorich
","Microsoft
","a vault for your ci/cd pipeline"
"THR3167","Cloud security: Defense in depth","Security","Partner Led Session","Advanced (300)","Azure	Media
Azure
Azure	Blockchain
Azure	Analytics
Azure	DevOps 
Azure	AI + Machine Learning
Azure	Internet of Things
Azure	Compute
Azure	Developer Tools
Azure	Identity
Azure	Containers
Azure	Databases
Azure	Management and Governance
Azure	Integration
Azure	Security
Azure	Migration
Azure	Networking
Azure	Storage
Azure	Mobile
Azure	Web
Azure	Mixed Reality
Azure	Microsoft Azure Stack
","Bruce Maxfield
","Kroger
","cloud security: defense in depth"
"WRK2022","Security Immersion Workshop by CDW","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by cdw"
"WRK2021R","Security Immersion Workshop by New Signature","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by new signature"
"WRK2022R6","Security Immersion Workshop by CDW","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by cdw"
"WRK2022R9","Security Immersion Workshop by CDW","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by cdw"
"WRK2022R12","Security Immersion Workshop by CDW","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by cdw"
"WRK2015R","Teamwork Immersion Workshop by Phoenix UK.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by phoenix uk."
"WRK2019R","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2023R4","Security Immersion Workshop by Softchoice","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by softchoice"
"WRK2019R12","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2026R2","Security Immersion Workshop by Microsoft","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by microsoft"
"WRK2028R4","Teamwork Immersion Workshop by Catapult","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by catapult"
"WRK2028R6","Teamwork Immersion Workshop by Catapult","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by catapult"
"WRK2028R7","Teamwork Immersion Workshop by Catapult","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by catapult"
"WRK2029R","Teamwork Immersion Workshop by New Signature","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by new signature"
"WRK2017R4","Teamwork Immersion Workshop by Vitalyst.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by vitalyst."
"WRK2017R6","Teamwork Immersion Workshop by Vitalyst.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by vitalyst."
"WRK2016R9","Teamwork Immersion Workshop by Core BTS.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by core bts."
"WRK2016R10","Teamwork Immersion Workshop by Core BTS.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by core bts."
"TK01","Invent with purpose on Azure","Infrastructure","Session","Intermediate (200)","","Julia White
Jason Zander
","

","invent with purpose on azure"
"THR1135R","What’s missing from cloud security? How cyber AI can help (Part 2)","Security","Partner Led Session","Foundational (100)","Azure	AI + Machine Learning
Azure
Azure	Internet of Things
Azure	Security
Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","Eloy Avila
Nabil Zoldjalali
","Darktrace
Darktrace
","what’s missing from cloud security? how cyber ai can help (part 2)"
"THR2372","Moving 100% to the Cloud: Why, when and how","Infrastructure","Partner Led Session","Intermediate (200)","","Geeman Yip
","BitTitan
","moving 100% to the cloud: why, when and how"
"THR2378",".NET Core CLI: A quick overview","Tooling","Session","Intermediate (200)","Tooling & Languages	.NET
Tooling & Languages
","Maira Wenzel
","Microsoft
",".net core cli: a quick overview"
"MLS1013","The future of business applications: One platform to rule them all?","Thought Leadership","Interview","Foundational (100)","Power Platform	Power Platform General
Power Platform
","James Phillips
Sarah Critchley
","
CRMCAT @dynamiccrmcat
","the future of business applications: one platform to rule them all?"
"MLS1019","Live coding with Blazor for web forms developers","Productivity","Interview","Foundational (100)","Tooling & Languages	Tooling & Languages General
Tooling & Languages
","Dan Roth
Jeff Fritz
","
Microsoft
","live coding with blazor for web forms developers"
"MLS1048","Hyper-V: The fun bits","Deployment","Interview","Foundational (100)","Azure	Azure General
Azure
","Ben Armstrong
Thomas Maurer
","Microsoft
Microsoft
","hyper-v: the fun bits"
"MLS1062","Java at Microsoft: All you need to know","Development","Interview","Foundational (100)","","Balan Subramanian
Christina Compy
Bruno Borges
","Microsoft
Microsoft
Microsoft
","java at microsoft: all you need to know"
"MLS1064","What’s new in TypeScript?","Development","Interview","Foundational (100)","Tooling & Languages	Tooling & Languages General
Tooling & Languages
","Daniel Rosenwasser
John Papa
","Microsoft
Microsoft
","what’s new in typescript?"
"C4","Tour of the Developer Architecture Center","","","Foundational (100)","Not Product Specific
","Jeffrey Palermo
","Clear Measure Inc.
","tour of the developer architecture center"
"C19","Real-time everything with SignalR","","","Foundational (100)","Not Product Specific
","Jeffrey Palermo
","Clear Measure Inc.
","real-time everything with signalr"
"C22","Invent with Purpose on Azure - Turn your brilliant ideas into solutions","","","Foundational (100)","Not Product Specific
","Heather Newman
","Content Panda
","invent with purpose on azure - turn your brilliant ideas into solutions"
"C34","#MSIgnite is Known For Inclusive Experience and the Commitment To Self-Care","","","Foundational (100)","Not Product Specific
","Shafina Hassam
","Creospark
","#msignite is known for inclusive experience and the commitment to self-care"
"PRE08","Azure Cosmos DB in a day workshop with the engineering team","Data","Hands-On Learning","Advanced (300)","Azure	Databases
Azure
","Gary Hope
Tim Sander
","Microsoft
Microsoft
","azure cosmos db in a day workshop with the engineering team"
"PRE13","Build your first iOS and Android app with C#, Xamarin, and Azure","","","","","James Montemagno
","Microsoft
","build your first ios and android app with c#, xamarin, and azure"
"BRK3139","Sysadmin's guide to the cloud","","","Advanced (300)","Azure	Compute
Azure
Azure	Networking
","Mustafa Toroman
","Authority Partners
","sysadmin's guide to the cloud"
"BRK3197","Exam Prep | AI-100: Designing and Implementing an Azure AI Solution","Fundamentals","Exam Prep","Advanced (300)","Azure	AI + Machine Learning
Azure
Azure	Analytics
","Glenn Morris
","Talisman
","exam prep | ai-100: designing and implementing an azure ai solution"
"THR1039","Microsoft Flow best practices: 20 tips in 20 minutes","","","Foundational (100)","Power Platform	Microsoft Flow
Power Platform
","Jerry Weinstock
","Campus Management
","microsoft flow best practices: 20 tips in 20 minutes"
"BRK3143","Secure your information, not your devices","","","Advanced (300)","Microsoft 365	Advanced Compliance
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Applications
Microsoft 365	Operating System 
Microsoft 365	Identity and Access Management
Microsoft 365	Email and Calendar
Microsoft 365	Threat Protection
Microsoft 365	Information Protection
Microsoft 365	Security Management
","Olav Tvedt
","SpareBanken Vest
","secure your information, not your devices"
"BRK2098","Professional Power Apps development patterns: Error handling, logging, and telemetry","","","Intermediate (200)","Power Platform	Microsoft Flow
Power Platform
Azure	Analytics
Azure
Azure	Compute
Power Platform	PowerApps
","Todd Baginski
","Canviz
","professional power apps development patterns: error handling, logging, and telemetry"
